59	66	7	52	21	44	31	37	53	34	22	13	40	25	82	50	11	19	2	78	47	45	24	6	48	67	27	46	83	73	76	28	5	1	71	56	3	12	41	72	51	32	10	4	62	49	9	20	57	14	81	55	17	36	74	54	42	33	69	70	35	8	61	38	15	79	80	68	43	77	58	18	75	23	39	63	64	16	29	65	30	26	60
33	23	57	35	52	65	42	29	17	18	62	50	55	26	67	36	25	7	63	48	46	64	21	20	16	71	37	76	61	10	53	19	73	81	51	72	14	31	27	13	1	66	9	79	68	69	28	58	47	12	49	38	41	15	77	44	82	2	11	5	4	34	75	45	54	80	70	60	43	3	32	59	83	78	24	74	39	30	40	6	56	8	22
42	41	67	19	81	14	48	63	53	9	24	65	43	15	22	32	1	52	17	5	28	16	11	27	10	13	7	12	47	49	35	83	6	23	78	71	38	39	34	79	60	21	77	76	20	62	44	68	57	73	31	36	3	26	29	50	25	70	61	30	33	18	4	45	74	46	40	55	51	66	72	8	80	64	75	58	59	69	82	37	54	2	56
37	64	65	43	77	59	16	42	31	76	14	26	40	66	45	27	78	8	58	82	49	34	3	69	81	15	48	46	41	38	54	13	63	11	19	73	79	75	25	35	21	71	83	1	70	24	12	53	67	20	9	80	56	6	62	47	52	2	60	44	68	51	30	29	5	18	33	74	4	28	10	17	22	23	32	50	36	55	72	7	61	39	57
23	69	68	6	66	24	18	40	65	10	22	17	59	8	46	5	80	36	71	14	42	13	54	39	9	33	2	79	72	28	45	34	27	50	38	75	76	35	3	62	48	56	16	52	82	60	11	67	19	29	64	15	31	26	41	20	4	81	12	83	7	21	55	37	30	43	25	49	58	73	1	47	61	77	57	51	44	70	53	32	63	74	78
46	66	2	68	30	81	57	22	10	24	42	78	70	11	21	79	52	64	54	33	69	16	7	47	31	19	40	20	72	23	8	50	28	62	76	83	1	44	53	14	48	3	32	82	29	77	59	6	5	56	12	38	73	61	67	60	71	34	4	17	63	9	15	13	51	45	75	39	41	25	55	35	27	26	36	74	80	43	49	18	37	58	65
7	9	32	16	25	33	55	37	67	35	17	29	64	78	10	6	81	60	46	30	59	49	31	74	5	57	42	39	36	63	82	50	38	53	69	43	19	11	54	79	14	68	51	27	61	1	75	13	83	66	40	80	28	70	58	48	52	76	44	73	56	45	2	34	65	20	15	18	12	62	26	41	71	22	24	21	3	4	23	8	77	72	47
54	18	59	61	5	23	53	26	31	14	55	27	34	69	73	39	33	58	16	52	2	82	65	57	42	1	66	45	28	74	11	8	67	81	79	13	25	12	50	48	46	22	72	56	60	35	78	75	6	40	80	10	17	9	83	19	47	36	38	71	64	77	41	29	30	20	37	15	32	49	62	3	24	70	63	51	44	43	7	21	4	76	68
31	79	65	69	20	34	10	66	48	43	70	55	38	14	46	68	30	26	9	60	13	74	52	49	6	8	83	22	58	82	57	78	19	53	5	25	35	33	71	15	37	42	7	56	11	61	51	12	2	21	23	24	32	40	41	36	3	47	75	64	77	50	63	81	27	44	54	4	18	59	76	28	39	67	72	17	1	16	29	73	62	80	45
2	63	29	49	1	23	68	17	7	22	41	39	33	58	74	4	10	59	11	54	76	47	75	8	69	12	60	53	48	66	6	25	70	21	42	72	36	9	56	43	45	78	73	65	82	38	62	52	51	40	18	80	28	19	30	3	61	27	64	37	46	79	55	35	67	44	77	5	15	26	32	71	13	83	20	81	57	14	16	24	31	34	50
22	38	62	32	51	11	72	30	47	26	20	23	42	2	73	64	10	61	70	60	21	43	81	36	49	63	16	24	65	69	83	3	52	46	25	77	59	48	27	13	67	34	82	33	1	66	7	8	6	28	40	75	17	56	74	19	35	12	37	29	14	78	4	39	68	53	76	54	71	44	41	50	79	58	5	55	31	57	45	9	80	15	18
51	80	43	66	55	75	6	2	13	15	69	64	7	53	47	16	58	33	71	36	39	54	68	18	25	59	79	3	60	40	12	56	76	72	17	14	31	10	52	29	5	24	21	9	81	4	74	38	77	8	19	27	42	11	48	50	49	41	22	78	73	37	26	44	83	82	67	28	57	46	45	32	20	62	65	63	61	34	70	30	1	23	35
77	49	24	35	32	82	13	66	64	73	4	58	8	25	74	19	56	7	43	41	33	2	27	47	22	70	18	37	54	42	81	16	69	78	60	6	44	62	52	63	11	20	57	17	9	1	75	71	46	23	30	50	61	45	72	76	51	48	38	65	83	34	31	28	15	68	3	79	26	21	59	5	14	36	40	29	53	10	39	55	12	80	67
65	66	13	35	67	15	76	26	1	5	68	40	14	37	72	6	24	64	69	38	32	82	9	12	11	29	33	63	55	43	75	20	10	39	73	54	50	30	57	56	41	19	58	16	52	79	21	78	8	42	17	74	53	47	49	83	31	70	3	34	18	71	46	2	45	60	61	7	28	36	27	59	77	62	23	4	48	25	80	44	51	81	22
57	15	66	74	49	60	72	42	9	10	27	69	16	77	24	33	12	59	68	58	39	11	67	62	80	8	23	7	48	35	37	3	78	83	18	34	28	56	19	43	31	26	17	21	29	1	64	54	61	6	82	5	63	44	52	79	65	14	20	71	73	55	2	45	4	51	25	76	53	70	41	30	47	32	50	13	38	36	81	40	22	46	75
66	70	1	45	58	46	29	3	11	20	33	78	50	32	14	2	53	62	65	60	43	44	67	75	30	48	16	39	59	74	9	31	55	4	23	24	42	18	79	80	63	8	34	28	71	57	19	10	49	83	54	56	68	38	64	61	81	47	76	77	82	36	17	40	21	22	73	6	5	7	27	52	26	15	72	13	25	69	51	37	12	35	41
55	3	71	34	21	51	76	52	9	29	66	32	69	11	33	46	53	7	82	6	25	60	15	68	19	37	80	38	47	45	61	14	56	4	30	50	41	64	75	54	28	13	48	58	23	18	59	65	2	78	1	42	81	70	17	12	8	36	39	26	57	43	44	73	10	35	5	40	49	67	63	31	27	16	77	24	83	62	74	22	79	72	20
72	49	77	76	69	78	4	52	70	82	61	42	67	16	62	17	63	14	23	81	5	13	73	9	15	31	75	48	71	10	30	3	26	66	65	51	2	60	20	55	19	11	53	18	64	46	83	43	34	38	79	57	12	32	25	47	36	22	80	1	39	33	41	45	37	56	21	28	54	24	50	35	6	74	29	7	68	58	59	27	44	8	40
83	38	27	43	26	37	77	5	29	71	68	32	56	70	6	54	39	67	66	76	48	73	15	11	51	80	81	3	69	58	74	46	57	9	17	49	55	4	30	53	41	19	42	35	75	52	47	64	7	65	25	20	62	63	61	8	60	13	16	72	36	59	79	34	33	40	1	10	28	24	31	82	21	44	23	22	12	18	2	50	45	14	78
